time,cpu,io,memory,nodes,exp,order,start_ts,end_ts
5m,8,8,8,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N3_1,2025-11-25 17:15:33,2025-11-25 17:20:33
5m,12,12,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N3_2,2025-11-25 17:21:03,2025-11-25 17:26:03
5m,0,24,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N5_3,2025-11-25 17:26:33,2025-11-25 17:31:33
5m,0,12,12,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N4_4,2025-11-25 17:32:03,2025-11-25 17:37:04
5m,8,8,8,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N1_5,2025-11-25 17:37:34,2025-11-25 17:42:34
5m,24,0,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N2_6,2025-11-25 17:43:04,2025-11-25 17:48:04
5m,0,24,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N2_7,2025-11-25 17:48:34,2025-11-25 17:53:34
5m,0,12,12,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N2_8,2025-11-25 17:54:04,2025-11-25 17:59:04
5m,0,0,24,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N1_9,2025-11-25 17:59:34,2025-11-25 18:04:34
5m,12,0,12,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N2_10,2025-11-25 18:05:04,2025-11-25 18:10:04
5m,0,0,24,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N3_11,2025-11-25 18:10:34,2025-11-25 18:15:34
5m,0,24,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N1_12,2025-11-25 18:16:04,2025-11-25 18:21:04
5m,0,12,12,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N1_13,2025-11-25 18:21:34,2025-11-25 18:26:34
5m,0,12,12,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N5_14,2025-11-25 18:27:04,2025-11-25 18:32:04
5m,8,8,8,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N4_15,2025-11-25 18:32:34,2025-11-25 18:37:34
5m,12,12,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N5_16,2025-11-25 18:38:04,2025-11-25 18:43:04
5m,12,12,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N1_17,2025-11-25 18:43:34,2025-11-25 18:48:34
5m,0,24,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N4_18,2025-11-25 18:49:04,2025-11-25 18:54:04
5m,12,0,12,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N1_19,2025-11-25 18:54:34,2025-11-25 18:59:34
5m,0,0,24,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N4_20,2025-11-25 19:00:04,2025-11-25 19:05:04
5m,12,0,12,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N5_21,2025-11-25 19:05:34,2025-11-25 19:10:34
5m,24,0,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N1_22,2025-11-25 19:11:04,2025-11-25 19:16:04
5m,8,8,8,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N5_23,2025-11-25 19:16:34,2025-11-25 19:21:34
5m,0,24,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N3_24,2025-11-25 19:22:04,2025-11-25 19:27:04
5m,0,12,12,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N3_25,2025-11-25 19:27:34,2025-11-25 19:32:34
5m,12,12,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N4_26,2025-11-25 19:33:04,2025-11-25 19:38:04
