Time,Energy,Active_Power
2025-11-25 17:10:00,7415248,436
2025-11-25 17:10:00,7415248,436
2025-11-25 17:10:00,7415248,436
2025-11-25 17:10:00,7415248,436
2025-11-25 17:10:00,7415248,436
2025-11-25 17:10:00,7415248,436
2025-11-25 17:10:01,7415249,436
2025-11-25 17:10:01,7415249,435
2025-11-25 17:10:01,7415249,435
2025-11-25 17:10:01,7415249,435
2025-11-25 17:10:01,7415249,435
2025-11-25 17:10:02,7415249,447
2025-11-25 17:10:02,7415249,447
2025-11-25 17:10:02,7415249,456
2025-11-25 17:10:02,7415249,456
2025-11-25 17:10:02,7415249,456
2025-11-25 17:10:02,7415249,439
2025-11-25 17:10:03,7415249,439
2025-11-25 17:10:03,7415249,439
2025-11-25 17:10:03,7415249,439
2025-11-25 17:10:03,7415249,439
2025-11-25 17:10:03,7415249,439
2025-11-25 17:10:04,7415249,439
2025-11-25 17:10:04,7415249,439
2025-11-25 17:10:04,7415249,438
2025-11-25 17:10:04,7415249,438
2025-11-25 17:10:04,7415249,438
2025-11-25 17:10:05,7415249,455
2025-11-25 17:10:05,7415249,455
2025-11-25 17:10:05,7415249,439
2025-11-25 17:10:05,7415249,439
2025-11-25 17:10:05,7415249,439
2025-11-25 17:10:05,7415249,439
2025-11-25 17:10:06,7415249,438
2025-11-25 17:10:06,7415249,438
2025-11-25 17:10:06,7415249,438
2025-11-25 17:10:06,7415249,438
2025-11-25 17:10:06,7415249,438
2025-11-25 17:10:07,7415249,439
2025-11-25 17:10:07,7415249,439
2025-11-25 17:10:07,7415249,438
2025-11-25 17:10:07,7415249,438
2025-11-25 17:10:07,7415249,438
2025-11-25 17:10:07,7415249,438
2025-11-25 17:10:08,7415250,869
2025-11-25 17:10:08,7415250,869
2025-11-25 17:10:08,7415250,878
2025-11-25 17:10:08,7415250,878
2025-11-25 17:10:08,7415250,878
2025-11-25 17:10:09,7415250,661
2025-11-25 17:10:09,7415250,661
2025-11-25 17:10:09,7415250,482
2025-11-25 17:10:09,7415250,482
2025-11-25 17:10:09,7415250,482
2025-11-25 17:10:09,7415250,482
2025-11-25 17:10:10,7415250,472
2025-11-25 17:10:10,7415250,472
2025-11-25 17:10:10,7415250,482
2025-11-25 17:10:10,7415250,482
2025-11-25 17:10:10,7415250,482
2025-11-25 17:10:11,7415250,482
2025-11-25 17:10:11,7415250,482
2025-11-25 17:10:11,7415250,440
2025-11-25 17:10:11,7415250,440
2025-11-25 17:10:11,7415250,440
2025-11-25 17:10:11,7415250,440
2025-11-25 17:10:12,7415250,450
2025-11-25 17:10:12,7415250,450
2025-11-25 17:10:12,7415250,442
2025-11-25 17:10:12,7415250,442
2025-11-25 17:10:12,7415250,442
2025-11-25 17:10:13,7415250,444
