time,cpu,io,memory,nodes,exp,order,start_ts,end_ts
5m,24,0,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N2_24,2025-11-28 08:45:39,2025-11-28 08:50:39
5m,24,0,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N1_25,2025-11-28 08:51:09,2025-11-28 08:56:10
5m,12,12,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N3_26,2025-11-28 08:56:40,2025-11-28 09:01:40
5m,0,12,12,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N3_27,2025-11-28 09:02:10,2025-11-28 09:07:10
5m,24,0,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N3_28,2025-11-28 09:07:40,2025-11-28 09:12:40
5m,8,8,8,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N4_29,2025-11-28 09:13:10,2025-11-28 09:18:10
5m,0,0,24,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N4_30,2025-11-28 09:18:40,2025-11-28 09:23:40
5m,0,0,24,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N5_31,2025-11-28 09:24:10,2025-11-28 09:29:10
5m,0,0,24,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N2_32,2025-11-28 09:29:40,2025-11-28 09:34:40
5m,8,8,8,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N1_33,2025-11-28 09:35:10,2025-11-28 09:40:10
5m,24,0,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N5_34,2025-11-28 09:40:40,2025-11-28 09:45:40
5m,12,12,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N4_35,2025-11-28 09:46:10,2025-11-28 09:51:10
5m,0,12,12,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N1_36,2025-11-28 09:51:40,2025-11-28 09:56:40
5m,12,12,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N2_37,2025-11-28 09:57:10,2025-11-28 10:02:11
5m,0,0,24,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N3_38,2025-11-28 10:02:41,2025-11-28 10:07:41
5m,24,0,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N4_39,2025-11-28 10:08:11,2025-11-28 10:13:11
5m,12,0,12,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N5_40,2025-11-28 10:13:41,2025-11-28 10:18:41
5m,8,8,8,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N1_41,2025-11-28 10:19:11,2025-11-28 10:24:11
5m,12,0,12,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N4_42,2025-11-28 10:24:41,2025-11-28 10:29:41
5m,0,0,24,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N4_43,2025-11-28 10:30:11,2025-11-28 10:35:11
5m,0,24,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N3_44,2025-11-28 10:35:41,2025-11-28 10:40:41
5m,12,0,12,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N1_45,2025-11-28 10:41:11,2025-11-28 10:46:11
5m,0,12,12,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N5_46,2025-11-28 10:46:41,2025-11-28 10:51:41
5m,12,12,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N4_47,2025-11-28 10:52:11,2025-11-28 10:57:11
5m,0,0,24,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N5_48,2025-11-28 10:57:41,2025-11-28 11:02:41
5m,0,12,12,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N3_49,2025-11-28 11:03:11,2025-11-28 11:08:11
5m,8,8,8,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N4_50,2025-11-28 11:08:41,2025-11-28 11:13:41
5m,0,24,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N1_51,2025-11-28 11:14:12,2025-11-28 11:19:12
5m,12,0,12,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N3_52,2025-11-28 11:19:42,2025-11-28 11:24:42
5m,8,8,8,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N5_53,2025-11-28 11:25:12,2025-11-28 11:30:12
5m,0,0,24,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N1_54,2025-11-28 11:30:42,2025-11-28 11:35:42
5m,24,0,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N2_55,2025-11-28 11:36:12,2025-11-28 11:41:12
5m,8,8,8,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N2_56,2025-11-28 11:41:42,2025-11-28 11:46:42
5m,0,24,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N4_57,2025-11-28 11:47:12,2025-11-28 11:52:12
5m,0,24,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N5_58,2025-11-28 11:52:42,2025-11-28 11:57:42
5m,24,0,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N3_59,2025-11-28 11:58:12,2025-11-28 12:03:12
5m,24,0,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N5_60,2025-11-28 12:03:42,2025-11-28 12:08:42
5m,0,12,12,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N2_61,2025-11-28 12:09:12,2025-11-28 12:14:12
5m,0,0,24,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N2_62,2025-11-28 12:14:42,2025-11-28 12:19:42
5m,0,24,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N2_63,2025-11-28 12:20:12,2025-11-28 12:25:12
5m,12,12,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N1_64,2025-11-28 12:25:42,2025-11-28 12:30:42
5m,12,0,12,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N2_65,2025-11-28 12:31:12,2025-11-28 12:36:12
5m,8,8,8,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N3_66,2025-11-28 12:36:42,2025-11-28 12:41:42
5m,12,12,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N3_67,2025-11-28 12:42:12,2025-11-28 12:47:12
5m,0,12,12,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N4_68,2025-11-28 12:47:42,2025-11-28 12:52:42
5m,12,12,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N5_69,2025-11-28 12:53:12,2025-11-28 12:58:12
5m,24,0,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N1_70,2025-11-28 12:58:42,2025-11-28 13:03:42
