time,cpu,io,memory,nodes,exp,order,start_ts,end_ts
5m,12,0,12,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N4_1,2025-11-28 06:39:08,2025-11-28 06:44:09
5m,0,24,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N1_2,2025-11-28 06:44:39,2025-11-28 06:49:39
5m,0,12,12,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N5_3,2025-11-28 06:50:09,2025-11-28 06:55:09
5m,0,12,12,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N1_4,2025-11-28 06:55:39,2025-11-28 07:00:39
5m,12,0,12,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N5_5,2025-11-28 07:01:09,2025-11-28 07:06:09
5m,0,0,24,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N1_6,2025-11-28 07:06:39,2025-11-28 07:11:39
5m,12,0,12,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N3_7,2025-11-28 07:12:09,2025-11-28 07:17:09
5m,12,0,12,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N1_8,2025-11-28 07:17:39,2025-11-28 07:22:39
5m,12,0,12,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO0_MEM12_N2_9,2025-11-28 07:23:09,2025-11-28 07:28:09
5m,0,24,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N2_10,2025-11-28 07:28:39,2025-11-28 07:33:39
5m,0,24,0,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N3_11,2025-11-28 07:34:09,2025-11-28 07:39:09
5m,0,12,12,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N4_12,2025-11-28 07:39:39,2025-11-28 07:44:39
5m,12,12,0,1,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N1_13,2025-11-28 07:45:09,2025-11-28 07:50:09
5m,8,8,8,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N5_14,2025-11-28 07:50:39,2025-11-28 07:55:39
5m,8,8,8,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N3_15,2025-11-28 07:56:09,2025-11-28 08:01:09
5m,0,24,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N4_16,2025-11-28 08:01:39,2025-11-28 08:06:39
5m,12,12,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N5_17,2025-11-28 08:07:09,2025-11-28 08:12:09
5m,0,12,12,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO12_MEM12_N2_18,2025-11-28 08:12:39,2025-11-28 08:17:39
5m,8,8,8,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU8_IO8_MEM8_N2_19,2025-11-28 08:18:09,2025-11-28 08:23:09
5m,24,0,0,4,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU24_IO0_MEM0_N4_20,2025-11-28 08:23:39,2025-11-28 08:28:39
5m,0,24,0,5,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO24_MEM0_N5_21,2025-11-28 08:29:09,2025-11-28 08:34:09
5m,12,12,0,2,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU12_IO12_MEM0_N2_22,2025-11-28 08:34:39,2025-11-28 08:39:39
5m,0,0,24,3,stress_poti_5_nodes,stress_poti_5_nodes_5m_CPU0_IO0_MEM24_N3_23,2025-11-28 08:40:09,2025-11-28 08:45:09
